Région,Délegation,Commune,Nom établissement,Catégorie
Tanger-Tetouan-Al Hoceima,Larache,Sahel,Sahel,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Larache,Rissana Chamalia,Rissana Chamalia,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Larache,Rissana Janoubia,Rissana Janoubia,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Larache,Oulad Ouchih,Oulad Ouchih,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Larache,Souaken,Souaken,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Larache,Souk Tolba,Oulad Lharti,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Larache,Larache (Mun.),Alwafaa,Centre de Diagnostic et de Traitement des Maladies Respiratoires
Tanger-Tetouan-Al Hoceima,Larache,Larache (Mun.),Laboratoire (Siaap),Laboratoire de Santé Publique
Tanger-Tetouan-Al Hoceima,Larache,Tazroute,Tazroute,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Larache,Ksar El Kebir (Mun.),Oulad Hmid,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Ouezzane,Zghira,Mestitef,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Ouezzane,Brikcha,Brikcha   ,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Ouezzane,Brikcha,Jabriene (Ferha),Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Ouezzane,Asjen,Asjen,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Ouezzane,Asjen,Amezou,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Ouezzane,Kalaat Bouqorra,Bouqorra,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Ouezzane,Kalaat Bouqorra,Bni Kaoulech,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Ouezzane,Moqrisset,Moqrissat,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Ouezzane,Moqrisset,Asserdoune,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Ouezzane,Ain Beida,Ain Beida  ,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Ouezzane,Ain Beida,Bni Routen,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Ouezzane,Zoumi,Zoumi,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Ouezzane,Zoumi,Hamrya,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Ouezzane,Zoumi,Johra,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Ouezzane,Sidi Redouane,Tmalous,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Ouezzane,Teroual,Teroual,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Ouezzane,Teroual,Lalla Aicha,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Ouezzane,Zghira,Zghira,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Ouezzane,Ouezzane (Mun.),Al Massira,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Ouezzane,Ouezzane (Mun.),S.Ahmed Bouhediane,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Ouezzane,Ouezzane (Mun.),My Thami,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Ouezzane,Ouezzane (Mun.),My Abdelleh Chrif,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Ouezzane,Ounnana,Ouled Bder,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Ouezzane,Lamjaara,Ain Dorrij,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Ouezzane,Mzefroune,Mzefroune,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Ouezzane,Masmouda,Masmouda,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Ouezzane,Masmouda,Fersiou,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Ouezzane,Sidi Ahmed Cherif,Sidi Ahmed Cherif,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Ouezzane,Sidi Bousber,Sidi Bousber,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Ouezzane,Sidi Bousber,Mesker,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Ouezzane,Bni Quolla,Bni Quolla,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Ouezzane,Bni Quolla,Rmila,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Ouezzane,Sidi Redouane,Sidi Redouane,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Ouezzane,Sidi Redouane,Zouakine,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Ouezzane,Ounnana,Ouanana,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Ouezzane,Ouezzane (Mun.),2023-07-09 00:00:00,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Ouezzane,Asjen,Zaytouna,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Ouezzane,Ounnana,Fraoua,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Souani (Arrond.),Ben Dibane,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Souani (Arrond.),Branes,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Al Madina (Arrond.),Jules Cot,Centre de Santé Urbain niveau 2
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Al Madina (Arrond.),Dradeb,Centre de Santé Urbain niveau 2
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Al Madina (Arrond.),Val Fleury,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Al Madina (Arrond.),Mesnana,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Gueznaia (Mun.),Gzenaya,Centre de Santé Urbain niveau 2
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Al Manzla,El Menzla ( Barr. El Hachef),Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Dar Chaoui,Dar Chaoui,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Aquouass Briech,Briech,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Had Al Gharbia,Had Gharbia,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Sebt Azzinate,Zinate,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Bni Makada (Arrond.),El mers Aouma,Centre de Santé Urbain niveau 2
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Laaouama,Gouaret,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Sahel Chamali,Mejlaou,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Sidi Lyamani,Sidi Lyamani,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Mghogha (Arrond.),Labo. Epidemiologique,Laboratoire de Santé Publique
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Souani (Arrond.),Centre De Reference,Centre de Référence en Santé de Reproduction
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Al Madina (Arrond.),C. Diagnostic Tuberculose,Centre de Diagnostic et de Traitement des Maladies Respiratoires
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Assilah (Mun.),Merj Boutayeb,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Assilah (Mun.),El Marsa,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Bni Makada (Arrond.),Bni Ouriaghel,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Bni Makada (Arrond.),Jirari,Centre de Santé Urbain niveau 2
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Bni Makada (Arrond.),Bir Chifa,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Bni Makada (Arrond.),Al Amal (2),Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Mghogha (Arrond.),Mozart,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Mghogha (Arrond.),Roi Fahd,Centre de Santé Urbain niveau 2
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Mghogha (Arrond.),Place Des Arenes,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Mghogha (Arrond.),Bni Makada (Souani),Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Mghogha (Arrond.),Lkhreb,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Souani (Arrond.),Said Nouceiri (Bni Makada),Centre de Santé Urbain niveau 2
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Souani (Arrond.),Emsallah,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Souani (Arrond.),Hay Jadid,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,HJAR ENNHAL,Hjar Nhal,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Bni Makada (Arrond.),Bni Touzine,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Mghogha (Arrond.),Tanja Ballia,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Bni Makada (Arrond.),Dhar Kanfoud,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Mghogha (Arrond.),Mghogha,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Bni Makada (Arrond.),Aouama Gharbia,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Tetouan,Tétouan (Mun.),Sidi Talha,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Tetouan,Tétouan (Mun.),Kassabah (Dersa Ii),Centre de Santé Urbain niveau 1
