Province,Commune,Nom Etab,Categorie,Nom Complet
Agadir Ida Ou Tanan,Tamri,Tamri,CSCA,Centre de santé communal avec module d'accouchement
Agadir Ida Ou Tanan,Tamri,Ighallene,DR,Dispensaire Rural
Agadir Ida Ou Tanan,Agadir,Centre Oncologie,HSR,HSR
Al Haouz,Ait Ourir,Ait Ourir,CSUA,Centre de santé urbain avec module d'accouchement
Al Haouz,Ait Sidi Daoud,Boukhoubza,CSCA,Centre de santé communal avec module d'accouchement
Al Haouz,Ait Faska,Ait Faska,CSC,Centre de santé communal
Al Haouz,Tighedouine,Tighedouine,CSCA,Centre de santé communal avec module d'accouchement
Al Haouz,Tighedouine,Zat,DR,Dispensaire Rural
Al Haouz,Tighedouine,Tamaroute,DR,Dispensaire Rural
Al Haouz,Tighedouine,Ait Aacha,DR,Dispensaire Rural
Al Haouz,Tighedouine,Toulouzine,DR,Dispensaire Rural
Al Haouz,Tidili Mesfioua,Tidili Mesfioua,CSC,Centre de santé communal
Al Haouz,Tidili Mesfioua,Toukhribine,DR,Dispensaire Rural
Al Haouz,Sidi Abdallah Ghiat,S.Abdellah Ghiat,CSC,Centre de santé communal
Al Haouz,Tamazouzte,Tamazouzt,CSC,Centre de santé communal
Al Haouz,Iguerferouane,Ait Ouanga,CSC,Centre de santé communal
Al Haouz,Iguerferouane,Asaka,DR,Dispensaire Rural
Al Haouz,Ghmate,Ghmate,CSCA,Centre de santé communal avec module d'accouchement
Al Haouz,Ait Aadel,Ait Aadel,CSC,Centre de santé communal
Al Haouz,Ait Aadel,Ait Rbaa,DR,Dispensaire Rural
Al Haouz,Ait Hkim Ait Yzid,Ait Hkim-Ait Izid,CSC,Centre de santé communal
Al Haouz,Abadou,Abadou,CSCA,Centre de santé communal avec module d'accouchement
Al Haouz,Abadou,Sahrij,DR,Dispensaire Rural
Al Haouz,Tazart,Tazart,CSC,Centre de santé communal
Al Haouz,Tazart,Anzal,DR,Dispensaire Rural
Al Haouz,Tazart,Ihrissane,DR,Dispensaire Rural
Al Haouz,Tazart,Tizal Ait Abdellah,DR,Dispensaire Rural
Al Haouz,Tamaguert,Taguert,CSC,Centre de santé communal
Al Haouz,Tamaguert,Agoujgal,DR,Dispensaire Rural
Al Haouz,Touama,Touama,CSCA,Centre de santé communal avec module d'accouchement
Al Haouz,Touama,Ait Ouahlili,DR,Dispensaire Rural
Al Haouz,Zerkten,Tazlida (Zerkten),CSC,Centre de santé communal
Al Haouz,Zerkten,Izagzaouen (Ighi),DR,Dispensaire Rural
Al Haouz,Zerkten,Taddarte,DR,Dispensaire Rural
Al Haouz,Zerkten,Idgh,DR,Dispensaire Rural
Al Haouz,Asni,Asni,CSCA,Centre de santé communal avec module d'accouchement
Al Haouz,Asni,Imlil,DR,Dispensaire Rural
Al Haouz,Asni,Sidi Fars,DR,Dispensaire Rural
Al Haouz,Ighil,Ighil,CSC,Centre de santé communal
Al Haouz,Aghbar,Aghbar,CSC,Centre de santé communal
Al Haouz,Talat N'yaaqoub,Tlat N'yaaqoub,CSCA,Centre de santé communal avec module d'accouchement
Al Haouz,Talat N'yaaqoub,Mouldikht,DR,Dispensaire Rural
Al Haouz,Ijoukak,Ijoukak,CSC,Centre de santé communal
Al Haouz,Imgdal,Imegdal,CSC,Centre de santé communal
Al Haouz,Imgdal,Tizimlil,DR,Dispensaire Rural
Al Haouz,Ouirgane,Ouirgane,CSCA,Centre de santé communal avec module d'accouchement
Al Haouz,Ouirgane,Azzaden,DR,Dispensaire Rural
Al Haouz,Amghras,Amghras,CSC,Centre de santé communal
Al Haouz,Amizmiz,Amizmiz,CSUA,Centre de santé urbain avec module d'accouchement
Al Haouz,Anougal,Anougal,CSC,Centre de santé communal
Al Haouz,Azgour,Azgour,CSC,Centre de santé communal
Al Haouz,Azgour,Lamdinate,DR,Dispensaire Rural
Al Haouz,Tizguine,Tizguine,CSCA,Centre de santé communal avec module d'accouchement
Al Haouz,Dar Jamaa,Dar Jamaa,CSC,Centre de santé communal
Al Haouz,Sidi Badhaj,Sidi Badhaj,CSC,Centre de santé communal
Al Haouz,Oulad Mtaa,Igoudar,CSC,Centre de santé communal
Al Haouz,Oulad Mtaa,El Marja,DR,Dispensaire Rural
Al Haouz,Lalla Takarkoust,Lalla Takarkoust,CSCA,Centre de santé communal avec module d'accouchement
Al Haouz,Ouazguita,Ouzguita (Frass ),CSC,Centre de santé communal
Al Haouz,Sti Fadma,Ahmed Chefquaoui,CSC,Centre de santé communal
Al Haouz,Sti Fadma,Anammer,DR,Dispensaire Rural
Al Haouz,Sti Fadma,Assagaouer,DR,Dispensaire Rural
Al Haouz,Ourika,Ourika,CSCA,Centre de santé communal avec module d'accouchement
Al Haouz,Ourika,Amekhlij,DR,Dispensaire Rural
Al Haouz,Oukaimden,Tikhfiste (Oukaimden),CSC,Centre de santé communal
Al Haouz,Tahannaout,Tahannaout,CSU,Centre de santé urbain
Al Haouz,Aghouatim,Ben  Cheikh,DR,Dispensaire Rural
Al Haouz,Aghouatim,Ben  Kabour,DR,Dispensaire Rural
Al Haouz,Moulay Brahim,Moulay Brahim,CSC,Centre de santé communal
Al Haouz,Moulay Brahim,Agadir Tassaout,DR,Dispensaire Rural
Al Haouz,Tameslohte,Tameslohte,CSCA,Centre de santé communal avec module d'accouchement
Al Haouz,Tameslohte,Oulad Yahia,DR,Dispensaire Rural
Al Haouz,Tameslohte,Oumnaste,DR,Dispensaire Rural
Al Haouz,Amizmiz,Regraga,CSU,Centre de santé urbain
Al Haouz,Sti Fadma,Timenkar,DR,Dispensaire Rural
Al Haouz,Tahannaout,Tahannaout,CDTMR,Centre de diagnostic et de Traitement des maladies respiratoires
Al Hoceima,Al Hoceima,Bir Anzarane,CSU,Centre de santé urbain
Al Hoceima,Al Hoceima,Al Harchi,CSU,Centre de santé urbain
Al Hoceima,Al Hoceima,Abdellah Hamou,CSU,Centre de santé urbain
Al Hoceima,Al Hoceima,Bir Anzarane,CDTMR,Centre de diagnostic et de Traitement des maladies respiratoires
Al Hoceima,Al Hoceima,Bir Anzarane,CRPF,CRPF
Al Hoceima,Al Hoceima,Laboratoire (Siaap),LEHM,Laboratoire épidémiologique et d'hygiène de milieu
Al Hoceima,Bni Bouayach,Bni Bouayach,CSUA,Centre de santé urbain avec module d'accouchement
Al Hoceima,Bni Bouayach,Bni Bouayach-Ii,CSU,Centre de santé urbain
Al Hoceima,Imzouren,Imzouren    ,CSUA,Centre de santé urbain avec module d'accouchement
Al Hoceima,Targuist,Targuist    ,CSUA,Centre de santé urbain avec module d'accouchement
Al Hoceima,Targuist,Hommane El Fatouaki,CSU,Centre de santé urbain
Al Hoceima,Bni Boufrah,Bni Boufrah,CSCA,Centre de santé communal avec module d'accouchement
Al Hoceima,Bni Boufrah,Agni,DR,Dispensaire Rural
Al Hoceima,Senada,Senada  ,CSC,Centre de santé communal
Al Hoceima,Senada,Toufist,DR,Dispensaire Rural
Al Hoceima,Bni Gmil Maksouline,Maksouline,CSC,Centre de santé communal
Al Hoceima,Bni Gmil Maksouline,El  Hamri Omar,DR,Dispensaire Rural
Al Hoceima,Bni Gmil,B. Gmil Mestassa,CSCA,Centre de santé communal avec module d'accouchement
Al Hoceima,Bni Gmil,Ibarranen,DR,Dispensaire Rural
Al Hoceima,Chakrane,Chakrane,CSC,Centre de santé communal
Al Hoceima,Arbaa Taourirt,Arbaa Taourirt,CSCA,Centre de santé communal avec module d'accouchement
Al Hoceima,Arbaa Taourirt,Ouaadia,DR,Dispensaire Rural
Al Hoceima,Tifarouine,Ait Taa,CSC,Centre de santé communal
Al Hoceima,Nekkour,Nekkour,CSC,Centre de santé communal
Al Hoceima,Nekkour,Tazourakht,DR,Dispensaire Rural
Al Hoceima,Bni Abdallah,Bni Abdellah,CSC,Centre de santé communal
Al Hoceima,Bni Abdallah,Bousalah,DR,Dispensaire Rural
Al Hoceima,Zaouiat Sidi Abdelkader,S.Abdelkader,CSC,Centre de santé communal
Al Hoceima,Bni Hadifa,Bni Hadifa,CSCA,Centre de santé communal avec module d'accouchement
Al Hoceima,Ait Youssef Ou Ali,At YOUSSEF OU ALI,CSCA,Centre de santé communal avec module d'accouchement
Al Hoceima,Ait Youssef Ou Ali,Sidi Bouafif,DR,Dispensaire Rural
Al Hoceima,Imrabten,Tamassint  ,CSC,Centre de santé communal
Al Hoceima,Louta,Louta,CSC,Centre de santé communal
Al Hoceima,Izemmouren,Izemmouren,CSC,Centre de santé communal
Al Hoceima,Rouadi,Rouadi  ,CSCA,Centre de santé communal avec module d'accouchement
Al Hoceima,Rouadi,Tawasarte,DR,Dispensaire Rural
Al Hoceima,Ait Kamra,Ait Kamra,CSCA,Centre de santé communal avec module d'accouchement
Al Hoceima,Ait Kamra,Ait Zekri,DR,Dispensaire Rural
Al Hoceima,Sidi Bouzineb,Sidi Bouzineb,CSC,Centre de santé communal
Al Hoceima,Bni Ammart,Bni Ammart,CSCA,Centre de santé communal avec module d'accouchement
Al Hoceima,Abdelghaya Souahel,Ikaouen  ,CSC,Centre de santé communal
Al Hoceima,Abdelghaya Souahel,Beni Ahmed,DR,Dispensaire Rural
Al Hoceima,Moulay Ahmed Cherif,My Ahmed cherif,CSC,Centre de santé communal
Al Hoceima,Issaguen,Issaguen,CSC,Centre de santé communal
Al Hoceima,Issaguen,Azila,DR,Dispensaire Rural
Al Hoceima,Tamsaout,Tamsaout,CSC,Centre de santé communal
Al Hoceima,Ketama,Tlet Ketama,CSCA,Centre de santé communal avec module d'accouchement
Al Hoceima,Ketama,Tamlouguit,DR,Dispensaire Rural
Al Hoceima,Ketama,Attout,DR,Dispensaire Rural
Al Hoceima,Bni Bouchibet,Tabarrant,CSCA,Centre de santé communal avec module d'accouchement
Al Hoceima,Bni Ahmed Imoukzan,Admam,CSC,Centre de santé communal
Al Hoceima,Taghzout,Taghzout,CSC,Centre de santé communal
Al Hoceima,Sidi Boutmim,Sidi Boutmim,CSC,Centre de santé communal
Al Hoceima,Zarkt,Zarkat,CSC,Centre de santé communal
Al Hoceima,Bni Bounsar,Bni Bounsar,CSC,Centre de santé communal
Al Hoceima,Bni Bchir,Bab Stot,CSC,Centre de santé communal
Al Hoceima,Ajdir,Azghar (Ajdir),CSU,Centre de santé urbain
Al Hoceima,Izemmouren,Tala Youssef,DR,Dispensaire Rural
Al Hoceima,Ait Kamra,Tazaghine,DR,Dispensaire Rural
Aousserd,Mun. Lagouira,Lagouira,CSUA,Centre de santé urbain avec module d'accouchement
Aousserd,C.R. Bir Gandouz,Mhiriz (Rock Chiko),DR,Dispensaire Rural
Aousserd,C.R. Bir Gandouz,Bir Gandouz,CSCA,Centre de santé communal avec module d'accouchement
Aousserd,C.R. Aghouinite,Aghouinite,CSCA,Centre de santé communal avec module d'accouchement
Aousserd,C.R. Aousserd,Aousserd,CSCA,Centre de santé communal avec module d'accouchement
Aousserd,C.R. Bir Gandouz,Guergarat,DR,Dispensaire Rural
Assa Zag,Assa,Assa,CSU,Centre de santé urbain
Assa Zag,Assa,Assa Ii,CSU,Centre de santé urbain
Assa Zag,Zag,Zag,CSU,Centre de santé urbain
Assa Zag,Aouint Lahna,Aouint Lahna,CSCA,Centre de santé communal avec module d'accouchement
Assa Zag,Aouint Yghomane,Aouint Yghomane,CSCA,Centre de santé communal avec module d'accouchement
Assa Zag,Touizgui,Touizgui (1),CSC,Centre de santé communal
Assa Zag,Labouirat,Labouirat,CSC,Centre de santé communal
Assa Zag,Al Mahbass,Al Mahbass,CSC,Centre de santé communal
Assa Zag,Assa,Tihouna,CSU,Centre de santé urbain
Azilal,Azilal,Azilal,CSU,Centre de santé urbain
Azilal,Azilal,Q. Administratif,CSU,Centre de santé urbain
Azilal,Azilal,Azilal,CDTMR,Centre de diagnostic et de Traitement des maladies respiratoires
Azilal,Azilal,Azilal,LEHM,Laboratoire épidémiologique et d'hygiène de milieu
Azilal,Demnate,Demnat Kasbah,CSU,Centre de santé urbain
Azilal,Demnate,Demnate,CSUA,Centre de santé urbain avec module d'accouchement
Azilal,Demnate,Demnate,CDTMR,Centre de diagnostic et de Traitement des maladies respiratoires
Azilal,Ait M'hamed,Ait M'hamed,CSCA,Centre de santé communal avec module d'accouchement
Azilal,Ait Abbas,Sguatt,CSC,Centre de santé communal
Azilal,Ait Abbas,Igmir,DR,Dispensaire Rural
Azilal,Tabant,Bouguemaz,CSCA,Centre de santé communal avec module d'accouchement
Azilal,Tabant,Sremete  ,DR,Dispensaire Rural
Azilal,Ait Bou Oulli,Abachkou,CSC,Centre de santé communal
Azilal,Agoudi N'lkhair,Agoudid,CSCA,Centre de santé communal avec module d'accouchement
Azilal,Agoudi N'lkhair,Ifrane,DR,Dispensaire Rural
Azilal,Agoudi N'lkhair,Inguirt,DR,Dispensaire Rural
Azilal,Tamda Noumercid,Tamda,CSC,Centre de santé communal
Azilal,Tamda Noumercid,Tissa,DR,Dispensaire Rural
Azilal,Zaouiat Ahansal,Z.Ahansal,CSCA,Centre de santé communal avec module d'accouchement
Azilal,Tisqi,Tisqi,CSC,Centre de santé communal
Azilal,Taounza,Taounza,CSC,Centre de santé communal
Azilal,Taounza,Indjaren  ,DR,Dispensaire Rural
Azilal,Moulay Aissa Ben Driss,Ait Attab,CSCA,Centre de santé communal avec module d'accouchement
Azilal,Bni Ayat,Tizgui-N'bni Ayat,CSC,Centre de santé communal
Azilal,Bni Ayat,Tanfarda,DR,Dispensaire Rural
Azilal,Bni Ayat,S. Ali Ben Brahim,DR,Dispensaire Rural
Azilal,Bzou,Bzou,CSCA,Centre de santé communal avec module d'accouchement
Azilal,Bzou,Oued Laabid,DR,Dispensaire Rural
Azilal,Rfala,Bouazier  ,CSC,Centre de santé communal
Azilal,Rfala,Rfala,DR,Dispensaire Rural
Azilal,Rfala,Taghrart,DR,Dispensaire Rural
Azilal,Foum Jemaa,Foum Jemaa,CSC,Centre de santé communal
Azilal,Bni Hassane,Tirst,CSC,Centre de santé communal
Azilal,Bni Hassane,Ibaraguen,DR,Dispensaire Rural
Azilal,Bni Hassane,Guimi,DR,Dispensaire Rural
Azilal,Tabia,Tabia,CSC,Centre de santé communal
Azilal,Tabia,Tislit,DR,Dispensaire Rural
Azilal,Ait Taguella,Ouzoud,CSC,Centre de santé communal
Azilal,Ait Taguella,A. Taguella,DR,Dispensaire Rural
Azilal,Tanant,Tanant,CSCA,Centre de santé communal avec module d'accouchement
Azilal,Tanant,Bouhrazen,DR,Dispensaire Rural
Azilal,Tanant,Ait Ouirar,DR,Dispensaire Rural
Azilal,Tanant,Skoura  ,DR,Dispensaire Rural
Azilal,Ait Blal,Tizi Noubadou,CSC,Centre de santé communal
Azilal,Ouaoula,Ouaoula,CSCA,Centre de santé communal avec module d'accouchement
Azilal,Ouaoula,Mahda,DR,Dispensaire Rural
Azilal,Ouaoula,Ait Choarit,DR,Dispensaire Rural
Azilal,Ait Majden,Ait Majden,CSC,Centre de santé communal
Azilal,Ait Majden,Ait Salah,DR,Dispensaire Rural
Azilal,Sidi Boulkhalf,Iwariden,CSC,Centre de santé communal
Azilal,Sidi Boulkhalf,Ait Toutline,DR,Dispensaire Rural
Azilal,Tifni,Iminifri,CSCA,Centre de santé communal avec module d'accouchement
Azilal,Tifni,Tifni,DR,Dispensaire Rural
Azilal,Tifni,Tizgui-N'tifni,DR,Dispensaire Rural
Azilal,Imlil,Imlil,CSC,Centre de santé communal
Azilal,Ait Oumdis,Issoulane,CSC,Centre de santé communal
Azilal,Ait Tamlil,Ait Tamlil,CSCA,Centre de santé communal avec module d'accouchement
Azilal,Anzou,Bouachiba,CSC,Centre de santé communal
Azilal,Tidili Fetouaka,Tidili,CSCA,Centre de santé communal avec module d'accouchement
Azilal,Tidili Fetouaka,Ihoudjine,DR,Dispensaire Rural
Azilal,Tidili Fetouaka,Draa,DR,Dispensaire Rural
Azilal,Sidi Yacoub,Ait Maala,CSC,Centre de santé communal
Azilal,Afourar,Afourar,CSCA,Centre de santé communal avec module d'accouchement
Azilal,Timoulilt,Timoulilt,CSC,Centre de santé communal
Azilal,Anergui,Anergui,CSCA,Centre de santé communal avec module d'accouchement
Azilal,Bin El Ouidane,Bin El Ouidane,CSC,Centre de santé communal
Azilal,Isseksi,Isseksi,CSC,Centre de santé communal
Azilal,Ouaouizeght,Ouaouizeght,CSCA,Centre de santé communal avec module d'accouchement
Azilal,Ait Ouaarda,Ait Guirt,CSC,Centre de santé communal
Azilal,Ait Ouaarda,Ait Ouaarda,DR,Dispensaire Rural
Azilal,Tiffert N'ait Hamza,Tiffert At Hamza,CSC,Centre de santé communal
Azilal,Ait Ouqabli,Ait Ouqabli,CSC,Centre de santé communal
Azilal,Tagleft,Tagleft,CSCA,Centre de santé communal avec module d'accouchement
Azilal,Tagleft,Ait Tamjout,DR,Dispensaire Rural
Azilal,Tabaroucht,Tabaroucht,CSC,Centre de santé communal
Azilal,Ait Mazigh,Ait Boukhouch,CSC,Centre de santé communal
Azilal,Tilougguite,Tillougguite,CSCA,Centre de santé communal avec module d'accouchement
Azilal,Bni Ayat,Laaouina,DR,Dispensaire Rural
Azilal,Zaouiat Ahansal,Zerken,DR,Dispensaire Rural
Azilal,Ait Tamlil,Toufghine,DR,Dispensaire Rural
Beni Mellal,Beni Mellal,Ghdira El Hamra,CSU,Centre de santé urbain
Beni Mellal,Beni Mellal,Rmila,CSU,Centre de santé urbain
Beni Mellal,Beni Mellal,Somaa,CSU,Centre de santé urbain
Beni Mellal,Beni Mellal,Hay Mohammadi,CSU,Centre de santé urbain
Beni Mellal,Beni Mellal,Ghar N'hal,CSU,Centre de santé urbain
Beni Mellal,Beni Mellal,Od HAMDANE,CSU,Centre de santé urbain
Beni Mellal,Beni Mellal,El Amria,CSU,Centre de santé urbain
Beni Mellal,Beni Mellal,Ourbiaa,CSU,Centre de santé urbain
Beni Mellal,Beni Mellal,Massira Ii (Al Masjid),CSU,Centre de santé urbain
Beni Mellal,Beni Mellal,Hay Mohammadi,CDTMR,Centre de diagnostic et de Traitement des maladies respiratoires
Beni Mellal,Beni Mellal,C. De Reference (Hôp.Prov.),CRPF,CRPF
Beni Mellal,Beni Mellal,Laboratoire  (Hôp.Prov.),LEHM,Laboratoire épidémiologique et d'hygiène de milieu
Beni Mellal,Oulad Gnaou,Laayayta,DR,Dispensaire Rural
Beni Mellal,Oulad Gnaou,Ouled Gnaou,DR,Dispensaire Rural
Beni Mellal,Oulad M'barek,Ouled M'barek,CSC,Centre de santé communal
Beni Mellal,Foum Oudi,Foum Oudi,DR,Dispensaire Rural
Beni Mellal,Oulad Yaich,Ouled Yaich,CSC,Centre de santé communal
Beni Mellal,Oulad Yaich,Bezzaza,DR,Dispensaire Rural
Beni Mellal,Oulad Yaich,Zouair,DR,Dispensaire Rural
Beni Mellal,Sidi Jaber,Sidi Jaber,CSC,Centre de santé communal
Beni Mellal,Aghbala,Aghbala,CSCA,Centre de santé communal avec module d'accouchement
Beni Mellal,Tizi N'isly,Tizi N'isly,CSCA,Centre de santé communal avec module d'accouchement
Beni Mellal,Tizi N'isly,Tihouna Ouidir,DR,Dispensaire Rural
Beni Mellal,Boutferda,Boutferda,CSC,Centre de santé communal
Beni Mellal,Naour,Naour,CSC,Centre de santé communal
Beni Mellal,Naour,Bencherrou,DR,Dispensaire Rural
Beni Mellal,Dir El Ksiba,Ait Ikkou (Ait Ali Ouhammou),CSC,Centre de santé communal
Beni Mellal,Dir El Ksiba,Gharm El Alem,DR,Dispensaire Rural
Beni Mellal,Dir El Ksiba,Taghzoute,DR,Dispensaire Rural
Beni Mellal,Dir El Ksiba,Tighboula,DR,Dispensaire Rural
Beni Mellal,Dir El Ksiba,Imhiouach,DR,Dispensaire Rural
Beni Mellal,Foum El Anceur,Foum El Anceur,CSC,Centre de santé communal
Beni Mellal,Tanougha,Tanougha,DR,Dispensaire Rural
Beni Mellal,Taghzirt,Taghzirt,CSCA,Centre de santé communal avec module d'accouchement
Beni Mellal,Taghzirt,Fareata,DR,Dispensaire Rural
Beni Mellal,Ait Oum El Bekht,Tibihit(Ait Oum L'bekht),CSC,Centre de santé communal
Beni Mellal,Guettaya,Kamoune,CSC,Centre de santé communal
Beni Mellal,Guettaya,Guettaya,DR,Dispensaire Rural
Beni Mellal,Semguet,Semguet,DR,Dispensaire Rural
Beni Mellal,Semguet,Ait Rouadi,DR,Dispensaire Rural
Beni Mellal,Oulad Youssef,Ouled Youssef,CSC,Centre de santé communal
Beni Mellal,Oulad Said L'oued,Ouled Said Loued,CSCA,Centre de santé communal avec module d'accouchement
Beni Mellal,Oulad Said L'oued,Od SMAIL,DR,Dispensaire Rural
Beni Mellal,Zaouiat Cheikh,Zaouiat Cheikh,CSUA,Centre de santé urbain avec module d'accouchement
Beni Mellal,Semguet,Charikat Rbah,CSC,Centre de santé communal
Beni Mellal,Kasba Tadla,Kasba Tadla,CSU,Centre de santé urbain
Beni Mellal,Kasba Tadla,Hajra,CSU,Centre de santé urbain
Beni Mellal,Zaouiat Cheikh,Zaouiat Cheikh,CSUA,Centre de santé urbain avec module d'accouchement
Beni Mellal,El Ksiba,El Ksiba,CSUA,Centre de santé urbain avec module d'accouchement
Benslimane,Benslimane,Hay Mohammadi,CSU,Centre de santé urbain
Benslimane,Benslimane,Benslimane,CSU,Centre de santé urbain
Benslimane,Benslimane,Hay Hassani (Hay Farah),CSU,Centre de santé urbain
Benslimane,Benslimane,Benslimane,CDTMR,Centre de diagnostic et de Traitement des maladies respiratoires
Benslimane,Benslimane,Benslimane,CRPF,CRPF
Benslimane,Benslimane,Benslimane,LEHM,Laboratoire épidémiologique et d'hygiène de milieu
Benslimane,Bouznika,Bouznika,CSUA,Centre de santé urbain avec module d'accouchement
Benslimane,Fdalate,Laamour,CSCA,Centre de santé communal avec module d'accouchement
Benslimane,Fdalate,Fdalate,DR,Dispensaire Rural
Benslimane,Oulad Yahya Louta,Od YAHIA LOUTA,CSC,Centre de santé communal
Benslimane,Moualine El Oued,Moualine L'oued,CSC,Centre de santé communal
Benslimane,Ahlaf,Ahlaf,CSC,Centre de santé communal
Benslimane,Mellila,Mellila,CSCA,Centre de santé communal avec module d'accouchement
Benslimane,Oulad Ali Toualaa,Toualaa,CSC,Centre de santé communal
Benslimane,Rdadna Oulad Malek,Rdadna (Laabadla),CSC,Centre de santé communal
Benslimane,Ziaida,Ziaida,CSCA,Centre de santé communal avec module d'accouchement
Benslimane,Ain Tizgha,Laayoune,CSC,Centre de santé communal
Benslimane,Ain Tizgha,Had Krassi,DR,Dispensaire Rural
Benslimane,Cherrat,Cherrat (Sidi Khdim),CSCA,Centre de santé communal avec module d'accouchement
Benslimane,Sidi Bettache,Sidi Bettach,CSCA,Centre de santé communal avec module d'accouchement
Benslimane,Bir Ennasr,Bir Ennasr,CSC,Centre de santé communal
Benslimane,El Mansouria,El Mansouria,CSU,Centre de santé urbain
Berkane,Berkane,Berkane,CSU,Centre de santé urbain
Berkane,Berkane,Al Qods,CSU,Centre de santé urbain
Berkane,Berkane,Lamhal   ,CSU,Centre de santé urbain
Berkane,Ahfir,Ahfir,CSUA,Centre de santé urbain avec module d'accouchement
Berkane,Saidia,Saidia,CSU,Centre de santé urbain
Berkane,Aklim,Aklim   ,CSUA,Centre de santé urbain avec module d'accouchement
Berkane,Ain Erreggada,Ain Erreggada,CSU,Centre de santé urbain
Berkane,Fezouane,Fezouane,CSCA,Centre de santé communal avec module d'accouchement
Berkane,Aghbal,Lamriss (Od Al Bali),CSC,Centre de santé communal
Berkane,Laatamna,Laatamna       ,CSC,Centre de santé communal
Berkane,Madagh,Madagh,CSCA,Centre de santé communal avec module d'accouchement
Berkane,Madagh,Ain Zebda,DR,Dispensaire Rural
Berkane,Chouihia,Chouihiya  ,CSC,Centre de santé communal
Berkane,Boughriba,Dzayest  ,CSC,Centre de santé communal
Berkane,Zegzel,Zegzel,CSC,Centre de santé communal
Berkane,Rislane,Rislane,CSC,Centre de santé communal
Berkane,Sidi Bouhria,Sidi Bouhria,CSC,Centre de santé communal
Berkane,Tafoughalt,Tafoughalt,CSCA,Centre de santé communal avec module d'accouchement
Berkane,Sidi Slimane Echcharraa,S.Sl. Echcherraa,CSU,Centre de santé urbain
Berkane,Zegzel,Bouhdila,DR,Dispensaire Rural
Berkane,Aghbal,Aghbal,DR,Dispensaire Rural
Berrechid,Oulad Abbou,Oulad Abbou,CSUA,Centre de santé urbain avec module d'accouchement
Berrechid,Lahsasna,Lahsasna,CSC,Centre de santé communal
Berrechid,Sidi El Mekki,Sidi El Mekki,CSC,Centre de santé communal
Berrechid,Sidi El Mekki,Od ALLAL,DR,Dispensaire Rural
Berrechid,Sidi El Mekki,Od BREIK,DR,Dispensaire Rural
Berrechid,Zaouiat Sidi  Ben Hamdoun,Od RAHOU,CSC,Centre de santé communal
Berrechid,Zaouiat Sidi  Ben Hamdoun,Krarma,DR,Dispensaire Rural
